0,1,2,3
20190104,0.5,10.0,1
20181223,1.0,10.0,2
20181211,1.0,10.0,1
20181210,0.0,6.0,1
20181130,1.0,10.0,1
20181128,0.0,1.0,1
20181127,0.7,8.3,10
20181126,0.0,4.6,5
20181124,1.0,10.0,1
20181121,0.3333333333333333,5.333333333333333,3
20181111,0.0,6.0,1
20181029,1.0,10.0,2
20181022,1.0,10.0,1
20181017,0.75,9.5,2
20180930,1.0,10.0,1
20180929,1.0,10.0,1
20180928,1.0,10.0,1
20180927,0.8333333333333334,8.0,3
20180926,0.7906976744186046,8.581395348837209,43
20180924,1.0,10.0,1
20180920,1.0,10.0,1
20180908,0.0,10.0,1
20180902,0.0,4.0,1
20180819,1.0,10.0,1
20180818,1.0,8.0,1
20180801,1.0,10.0,1
20180731,1.0,10.0,1
20180723,1.0,10.0,1
20180627,1.0,8.0,1
20180606,1.0,10.0,1
20180604,1.0,10.0,1
20180528,0.0,4.0,1
20180524,1.0,10.0,1
20180522,0.5,5.0,2
20180521,0.5,4.0,1
20180519,1.0,10.0,1
20180518,0.5,8.0,1
20180516,0.25,5.5,2
20180511,0.5,9.0,1
20180510,0.5,9.5,2
20180507,1.0,10.0,2
20180506,1.0,9.5,2
20180504,1.0,8.0,1
20180503,1.0,10.0,1
20180502,0.0,4.0,1
20180428,0.5,10.0,1
20180425,1.0,10.0,2
20180424,0.6666666666666666,8.666666666666666,3
20180420,0.0,1.0,1
20180418,1.0,10.0,1
20180409,1.0,10.0,1
20180331,1.0,8.0,1
20180329,1.0,10.0,1
20180325,0.0,1.0,1
20180319,1.0,10.0,1
20180312,1.0,8.5,2
20180311,1.0,9.0,2
20180310,0.8333333333333334,8.333333333333334,3
20180303,1.0,10.0,1
20180302,0.5,8.0,1
20180228,0.0,2.0,1
20180227,1.0,10.0,1
20180226,0.5,10.0,1
20180222,1.0,10.0,1
20180221,0.0,2.0,1
20180219,1.0,8.0,1
20180218,0.5,6.0,3
20180217,1.0,10.0,1
20180216,0.0,7.0,2
20180214,1.0,10.0,2
20180213,0.25,5.5,2
20180212,1.0,8.0,1
20180211,0.0,2.0,1
20180210,0.3333333333333333,7.0,3
20180209,1.0,10.0,2
20180208,1.0,10.0,3
20180207,1.0,10.0,1
20180206,0.5,6.0,2
20180205,0.0,6.0,1
20180204,1.0,10.0,3
20180203,1.0,10.0,2
20180202,0.0,2.0,1
20180131,1.0,10.0,1
20180130,1.0,8.0,1
20180128,0.5,10.0,1
20180127,1.0,9.333333333333334,3
20180125,0.0,6.0,1
20180124,0.8333333333333334,10.0,3
20180122,0.0,9.0,2
20180121,0.75,9.0,2
20180120,0.5,6.0,2
20180119,1.0,10.0,1
20180118,0.5,8.0,4
20180115,0.5,9.0,1
20180114,0.5,1.0,1
20180113,0.0,6.0,1
20180112,0.8333333333333334,8.666666666666666,3
20180111,0.8333333333333334,8.666666666666666,3
20180110,1.0,10.0,2
20180109,1.0,9.5,2
20180108,1.0,9.0,2
20180107,0.8333333333333334,9.333333333333334,3
20180106,0.5,5.0,2
20180105,0.0,4.0,1
20180104,0.625,7.0,4
20180103,1.0,10.0,1
20180102,1.0,9.0,2
20180101,1.0,9.666666666666666,3
20171231,0.25,5.5,2
20171230,0.6666666666666666,7.666666666666667,3
20171228,1.0,9.0,3
20171227,0.5,10.0,1
20171226,1.0,10.0,1
20171225,0.6666666666666666,5.666666666666667,3
20171224,0.7,7.2,5
20171223,0.8333333333333334,10.0,3
20171222,0.6666666666666666,6.333333333333333,3
20171221,0.5,5.5,2
20171220,0.3333333333333333,5.666666666666667,3
20171219,1.0,10.0,2
20171218,0.0,1.0,2
20171217,0.75,7.5,8
20171216,0.0,4.5,2
20171215,0.5714285714285714,7.857142857142857,7
20171214,0.9,9.8,5
20171213,0.5,5.75,4
20171212,0.4,6.4,5
20171211,0.9090909090909091,8.727272727272727,11
20171210,0.6363636363636364,6.454545454545454,11
20171209,0.8928571428571429,8.857142857142858,14
20171208,0.875,9.125,8
20171207,0.8461538461538461,9.0,13
20171206,0.7727272727272727,9.818181818181818,11
20171205,0.84375,9.0,16
20171204,0.6538461538461539,8.461538461538462,26
20171203,0.7352941176470589,7.588235294117647,34
20171202,0.7083333333333334,8.055555555555555,36
20171201,0.68,8.56,25
20171130,0.8181818181818182,8.727272727272727,11
20171129,0.7222222222222222,7.777777777777778,9
20171128,0.7,8.0,5
20171127,0.6111111111111112,7.777777777777778,9
20171126,0.7142857142857143,7.5,14
20171125,0.8846153846153846,8.923076923076923,13
20171124,0.65,7.4,10
20171123,0.7727272727272727,8.272727272727273,11
20171122,0.8,9.0,10
20171121,0.8846153846153846,8.692307692307692,13
20171120,0.775,8.45,20
20171119,0.8,9.15,20
20171118,0.7307692307692307,8.538461538461538,26
20171117,0.7391304347826086,8.304347826086957,23
20171116,0.8181818181818182,9.136363636363637,22
20171115,0.7741935483870968,8.483870967741936,31
20171114,0.8673469387755102,8.938775510204081,49
20171113,0.7905405405405406,8.986486486486486,74
20171112,0.8908045977011494,9.0,87
20171111,0.8246753246753247,9.090909090909092,77
20171110,0.9020979020979021,9.44055944055944,143
20171109,0.930622009569378,9.655502392344498,209
