0,1,2,3
20190111,0.25,10.0,2
20190109,1.0,10.0,1
20190104,0.125,1.25,4
20190101,0.5,8.0,1
20181230,0.25,6.5,2
20181229,0.0,7.0,1
20181226,0.0,8.0,1
20181225,0.0,3.0,2
20181219,0.0,6.0,1
20181217,0.16666666666666666,4.333333333333333,3
20181216,0.5,7.5,2
20181214,0.0,4.0,1
20181211,0.5,6.0,2
20181205,1.0,10.0,1
20181203,0.0,2.0,2
20181202,0.0,6.0,1
20181128,1.0,10.0,1
20181127,1.0,6.0,1
20181125,0.0,3.0,1
20181121,0.0,1.0,1
20181118,0.0,4.0,2
20181117,0.25,5.0,2
20181115,0.5,8.5,2
20181114,0.0,1.0,1
20181110,0.0,1.0,1
20181108,0.0,1.0,1
20181030,0.0,8.0,1
20181016,0.0,1.0,1
20181014,0.0,5.0,1
20181013,0.5,7.0,1
20181011,0.5,8.0,3
20181010,0.0,1.0,1
20181008,0.5,1.0,1
20181007,0.5,5.0,1
20181006,0.5,5.0,1
20181005,0.25,5.5,2
20180928,0.5,1.0,1
20180925,0.3,3.6,5
20180924,0.0,5.0,1
20180922,0.0,4.0,1
20180920,0.0,10.0,1
20180913,0.25,3.5,2
20180910,0.0,8.0,1
20180909,0.25,3.25,4
20180908,0.0,3.5,2
20180907,1.0,8.0,1
20180905,0.4,4.8,5
20180904,0.5,7.0,1
20180903,0.0,2.5,2
20180902,0.25,5.1,10
20180901,1.0,8.0,1
20180831,0.5,6.0,1
20180823,1.0,9.0,1
20180822,0.0,6.0,1
20180820,0.0,2.0,1
20180818,0.0,3.0,1
20180813,0.0,7.0,1
20180810,0.5,8.0,1
20180809,0.0,6.0,1
20180805,0.5,7.0,1
20180804,0.0,4.0,1
20180801,1.0,10.0,3
20180731,0.0,6.0,1
20180730,0.0,1.0,1
20180729,1.0,9.0,1
20180727,0.5,8.666666666666666,3
20180725,0.6,6.4,5
20180723,0.3333333333333333,3.6666666666666665,3
20180722,0.5,5.5,2
20180720,1.0,10.0,1
20180719,0.0,1.0,1
20180718,0.0,1.0,1
20180715,0.5,4.5,2
20180714,0.0,1.0,1
20180713,1.0,10.0,1
20180712,0.0,1.0,1
20180711,1.0,10.0,1
20180710,0.0,1.0,1
20180709,0.5,8.0,2
20180708,0.8333333333333334,7.666666666666667,3
20180706,0.25,1.5,2
20180704,0.0,6.0,1
20180703,1.0,5.0,1
20180702,0.0,6.0,1
20180701,1.0,9.0,1
20180630,0.5,10.0,1
20180628,0.5,1.0,1
20180627,0.0,10.0,1
20180625,0.0,6.0,2
20180624,1.0,9.0,1
20180623,0.125,6.0,4
20180622,0.5,6.0,2
20180621,0.0,1.0,1
20180620,1.0,10.0,2
20180619,1.0,9.0,2
20180618,0.5,6.0,1
20180617,0.6666666666666666,6.333333333333333,3
20180616,0.5,5.0,2
20180615,0.0,1.0,1
20180614,0.16666666666666666,1.6666666666666667,3
20180613,0.0,5.0,1
20180612,0.25,4.5,4
20180611,0.5,6.0,1
20180610,0.5,6.0,4
20180609,0.5,7.0,2
20180608,0.0,5.0,1
20180607,0.0,4.0,1
20180606,0.1,3.8,5
20180605,0.1,2.4,5
20180604,0.25,4.5,2
20180603,0.0,5.0,2
20180602,0.625,7.25,4
20180601,0.6666666666666666,6.0,6
20180530,1.0,7.0,1
20180529,1.0,8.0,1
20180528,0.75,7.0,2
20180527,0.25,4.0,2
20180526,1.0,6.0,1
20180525,0.25,4.5,2
20180523,0.0,1.0,2
20180522,0.0,1.0,1
20180520,1.0,10.0,1
20180517,1.0,8.0,1
20180516,0.5,5.0,2
20180514,1.0,10.0,1
20180513,0.0,6.0,1
20180512,0.0,1.0,1
20180510,0.0,3.0,2
20180509,0.0,4.0,1
20180508,0.5,7.0,2
20180506,0.75,8.0,2
20180505,0.5,8.0,1
20180504,0.5,5.5,2
20180429,0.6666666666666666,6.0,3
20180426,0.0,7.0,1
20180425,0.3333333333333333,7.333333333333333,3
20180422,0.0,5.0,1
20180421,0.5,4.0,2
20180419,0.0,4.0,1
20180418,0.5,7.0,1
20180416,0.0,6.0,1
20180415,1.0,9.0,3
20180414,0.0,1.0,1
20180413,0.0,5.0,1
20180412,0.75,7.0,2
20180411,0.5,6.0,1
20180410,1.0,9.0,1
20180409,0.16666666666666666,4.0,3
20180408,1.0,6.0,1
20180406,1.0,10.0,1
20180405,0.0,6.0,1
20180404,0.375,5.125,8
20180403,1.0,1.0,1
20180402,1.0,8.0,1
20180401,1.0,10.0,1
20180331,0.0,5.0,1
20180328,0.0,1.0,1
20180327,1.0,6.0,1
20180326,0.5,4.0,1
20180325,0.6666666666666666,6.333333333333333,3
20180324,0.25,4.0,4
20180323,0.0,6.0,1
20180322,1.0,10.0,2
20180320,0.25,6.0,4
20180319,0.5,6.0,2
20180318,0.0,2.0,1
20180317,0.0,1.0,1
20180316,0.3333333333333333,5.333333333333333,3
20180315,0.6666666666666666,6.333333333333333,3
20180314,0.0,3.5,2
20180313,0.625,8.25,4
20180312,0.0,6.0,1
20180311,0.25,6.0,4
20180310,0.5,5.0,1
20180309,0.3333333333333333,5.0,3
20180307,0.75,5.5,2
20180306,0.5,7.0,1
20180304,0.125,4.0,4
20180303,0.0,2.0,1
20180302,0.7,7.6,5
20180301,0.2222222222222222,6.444444444444445,9
20180228,0.0,5.5,2
20180226,0.0,8.0,2
20180225,0.3333333333333333,6.666666666666667,3
20180223,1.0,8.0,1
20180222,0.0,1.0,1
20180221,0.5,10.0,1
20180220,1.0,7.0,1
20180219,0.0,7.0,1
20180218,0.5,6.666666666666667,3
20180217,0.75,6.5,2
20180216,0.21428571428571427,6.0,7
20180215,0.26666666666666666,5.2,15
20180214,0.0,8.0,1
20180213,0.75,8.5,4
20180212,0.0,6.0,1
20180211,0.0,3.6666666666666665,3
20180210,1.0,7.8,5
20180209,0.0,5.0,2
20180208,0.5,6.666666666666667,3
20180206,0.6666666666666666,6.666666666666667,3
20180205,0.25,4.75,4
20180204,0.25,3.75,4
20180203,0.4,6.6,5
20180202,0.0,1.5,2
20180201,0.5,8.0,1
20180131,0.2,5.6,5
20180130,0.5,8.333333333333334,3
20180129,0.5,6.0,2
20180128,0.16666666666666666,7.0,3
20180127,0.3,1.8,5
20180126,0.25,3.5,2
20180125,0.25,5.75,4
20180124,0.625,5.5,4
20180123,0.25,1.0,2
20180122,0.6666666666666666,7.5,6
20180121,0.42857142857142855,4.857142857142857,7
20180120,0.4,5.0,5
20180119,0.0,1.5,2
20180118,0.5,5.333333333333333,3
20180117,0.25,4.875,8
20180115,0.2,4.2,5
20180114,0.4230769230769231,5.076923076923077,13
20180113,0.3333333333333333,4.666666666666667,6
20180112,0.5,6.8,5
20180111,0.2,5.4,10
20180110,0.5,6.5,4
20180109,0.32142857142857145,5.214285714285714,14
20180108,0.5,5.5,8
20180107,0.4166666666666667,5.722222222222222,18
20180106,0.4375,6.25,8
20180105,0.4,6.7,10
20180104,0.5,5.888888888888889,9
20180103,0.3684210526315789,6.842105263157895,19
20180102,0.55,8.0,10
20180101,0.47368421052631576,7.052631578947368,19
20171231,0.5526315789473685,6.0,19
20171230,0.47058823529411764,7.0588235294117645,17
20171229,0.39285714285714285,6.285714285714286,14
20171228,0.5384615384615384,5.538461538461538,13
20171227,0.3181818181818182,6.909090909090909,11
20171226,0.55,5.25,20
20171225,0.2878787878787879,5.515151515151516,33
20171224,0.4473684210526316,6.526315789473684,19
20171223,0.5434782608695652,6.521739130434782,23
20171222,0.47058823529411764,6.5,34
20171221,0.6428571428571429,8.507936507936508,63
20171220,0.6445783132530121,8.409638554216867,83
20171219,0.47619047619047616,6.682539682539683,63
20171218,0.5260869565217391,7.878260869565217,115
20171217,0.6256410256410256,7.871794871794871,195
20171216,0.45384615384615384,6.492307692307692,130
20171215,0.30327868852459017,5.213114754098361,61
20171214,0.5666666666666667,7.066666666666666,15
20171213,0.7272727272727273,7.636363636363637,22
20171212,0.6896551724137931,7.448275862068965,29
20171211,0.6458333333333334,6.833333333333333,24
20171210,0.5283018867924528,6.283018867924528,53
20171209,0.6153846153846154,7.538461538461538,39
20171208,0.5757575757575758,6.212121212121212,33
20171207,0.4418604651162791,6.186046511627907,43
20171206,0.45535714285714285,5.875,56
20171205,0.7121212121212122,8.696969696969697,165
20171204,0.7645985401459854,8.883211678832117,274
20171203,0.6924198250728864,8.13411078717201,343
20171202,0.7338709677419355,8.638709677419355,310
20171201,0.7422145328719724,9.051903114186851,289
20171130,0.667910447761194,8.212686567164178,268
20171129,0.6799307958477508,8.044982698961938,289
